Tau                 Error               EOC                 
0.1                 0.00167294                              
0.05                0.000100321         4.05968             
0.025               6.20988e-06         4.01392             
0.0125              3.88116e-07         4                   
0.00625             3.73366e-08         3.37782             
0.003125            4.47351e-09         3.06111             
0.0015625           4.5313e-10          3.30341             
0.00078125          8.35638e-11         2.43898             
0.000390625         1.35223e-11         2.62754             
0.000195313         6.77e-11            -2.32382            
9.76563e-05         5.54452e-11         0.288094            
4.88281e-05         2.70635e-10         -2.28721            
2.44141e-05         2.21824e-10         0.286929            
